participant_id,order,react,comment,post_tenure,tenure_units,human (y/n),race,gender,notes,manual_diag
3313,4,0,1,3,Days,1,Asian,Female,,0
3313,5,0,1,4,Days,1,White,Female,,0
3313,6,0,1,4,Days,1,White,Female,,0
3313,7,0,1,4,Days,1,White,Female,,0
3313,8,0,1,4,Days,1,Asian,Female,,0
3313,9,0,1,5,Days,1,Black or African American,Male,,0
3313,10,0,1,5,Days,0,,,,0
7031,1,1,0,2,days,1,white,male,,0
7031,2,1,0,2,days,1,white,female,,0
7031,3,1,0,3,days,1,white,female,,0
7031,4,1,0,2,days,1,white,female,,0
7031,5,1,0,10,days,0,,,,0
7031,6,1,0,2,weeks,1,white,male,,0
7031,7,1,0,2,weeks,1,white,female,,0
7031,8,1,0,3,weeks,0,,,,0
7031,9,1,0,5,weeks,1,white,male,,0
7031,10,1,0,5,weeks,1,white,female,,0
5775,1,1,0,1,days,1,white,female,,0
5775,2,1,0,1,days,1,white,female,,0
5775,3,1,0,1,days,1,white,male,,0
5775,4,1,0,1,days,1,hispanic,female,,0
5775,5,1,0,1,days,1,white,female,,0
5775,6,1,0,1,days,1,white,female,,0
5775,7,1,0,1,days,1,asian,female,,0
5775,8,1,0,2,days,1,white,male,,0
5775,9,1,0,2,days,1,white,male,,0
5775,10,1,0,3,days,1,white,female,,0
6164,1,1,0,14,days,1,asian,male,,0
6164,2,1,0,17,days,1,asian,male,,0
6164,3,1,0,25,days,1,asian,female,,0
6164,4,1,0,1,months,0,,,,0
6164,5,1,0,4,months,0,,,,0
6164,6,1,0,1,year,1,asian,male,,0
6164,7,0,1,2,year,0,,,,0
6164,8,1,0,2,year,0,,,,0
6164,9,1,0,2,year,1,asian,male,,0
6164,10,1,0,2,year,1,asian,male,,0
9706,1,1,0,6,days,1,white,female,,0
9706,2,1,0,12,days,1,white,male,,0
9706,3,1,0,12,days,1,white,female,,0
9706,4,1,0,23,days,1,asian,female,,0
9706,5,1,0,23,days,1,asian,female,,0
9706,6,1,0,24,days,0,,,,0
9706,7,1,0,25,days,1,asian,male,,0
